Altersgruppe	AnzahlFall	AnzahlGenesen	AnzahlTodesfall	Datenstand	Geschlecht	IstErkrankungsbeginn	Meldedatum	NeuGenesen	NeuerFall	NeuerTodesfall	ObjectId	Refdatum
A15-A34	1	0	0	2021-02-12	W	1	2021-02-11	-9	1	-9	145274	2021-02-06
A15-A34	1	0	0	2021-02-12	W	1	2021-02-11	-9	1	-9	145275	2021-02-07
A15-A34	2	0	0	2021-02-12	W	1	2021-02-11	-9	1	-9	145276	2021-02-10
A15-A34	2	0	0	2021-02-12	W	0	2021-02-11	-9	1	-9	145277	2021-02-11
A35-A59	1	0	0	2021-02-12	M	1	2021-02-11	-9	1	-9	145861	2021-02-04
A35-A59	1	0	0	2021-02-12	M	1	2021-02-11	-9	1	-9	145862	2021-02-08
A35-A59	1	0	0	2021-02-12	M	1	2021-02-11	-9	1	-9	145863	2021-02-09
A35-A59	4	0	0	2021-02-12	M	0	2021-02-11	-9	1	-9	145864	2021-02-11
A05-A14	1	0	0	2021-02-12	M	0	2021-02-11	-9	1	-9	146045	2021-02-11
A05-A14	1	0	0	2021-02-12	W	1	2021-02-11	-9	1	-9	146227	2021-02-09
A35-A59	1	0	0	2021-02-12	W	1	2021-02-11	-9	1	-9	147426	2021-02-08
A35-A59	2	0	0	2021-02-12	W	1	2021-02-11	-9	1	-9	147427	2021-02-10
A35-A59	2	0	0	2021-02-12	W	0	2021-02-11	-9	1	-9	147428	2021-02-11
A80+	1	0	0	2021-02-12	W	1	2021-02-11	-9	1	-9	147700	2021-02-08
A80+	1	0	0	2021-02-12	W	0	2021-02-11	-9	1	-9	147701	2021-02-11
A60-A79	1	0	0	2021-02-12	W	1	2021-02-11	-9	1	-9	148164	2021-02-08
A60-A79	2	0	0	2021-02-12	W	0	2021-02-11	-9	1	-9	148165	2021-02-11
A80+	1	0	0	2021-02-12	M	1	2021-02-11	-9	1	-9	148383	2021-02-09
A80+	2	0	0	2021-02-12	M	0	2021-02-11	-9	1	-9	148384	2021-02-11
A15-A34	2	0	0	2021-02-12	M	1	2021-02-11	-9	1	-9	146717	2021-02-07
A15-A34	3	0	0	2021-02-12	M	0	2021-02-11	-9	1	-9	146718	2021-02-11
A60-A79	2	0	0	2021-02-12	M	0	2021-02-11	-9	1	-9	149299	2021-02-11
A15-A34	-1	0	0	2021-02-12	W	0	2021-02-10	-9	-1	-9	145273	2021-02-10
A35-A59	1	0	0	2021-02-12	W	1	2021-02-10	-9	1	-9	147423	2021-02-08
A35-A59	-1	0	0	2021-02-12	M	0	2021-02-10	-9	-1	-9	145860	2021-02-10
A60-A79	1	0	0	2021-02-12	M	1	2021-02-10	-9	1	-9	149294	2021-02-05
A15-A34	2	0	0	2021-02-12	W	1	2021-02-10	-9	0	-9	145271	2021-02-06
A60-A79	1	0	0	2021-02-12	M	1	2021-02-10	-9	1	-9	149296	2021-02-08
A15-A34	3	0	0	2021-02-12	W	0	2021-02-10	-9	0	-9	145272	2021-02-10
A60-A79	1	0	0	2021-02-12	M	0	2021-02-10	-9	1	-9	149298	2021-02-10
A35-A59	1	0	0	2021-02-12	M	1	2021-02-10	-9	0	-9	145855	2021-02-05
A80+	2	0	0	2021-02-12	M	0	2021-02-10	-9	1	-9	148382	2021-02-10
A35-A59	1	0	0	2021-02-12	M	1	2021-02-10	-9	0	-9	145856	2021-02-06
A15-A34	1	0	0	2021-02-12	M	0	2021-02-10	-9	1	-9	146716	2021-02-10
A35-A59	2	0	0	2021-02-12	M	1	2021-02-10	-9	0	-9	145857	2021-02-08
A35-A59	1	0	0	2021-02-12	M	0	2021-02-10	-9	1	-9	145858	2021-02-10
A35-A59	5	0	0	2021-02-12	M	0	2021-02-10	-9	0	-9	145859	2021-02-10
A15-A34	1	0	0	2021-02-12	M	1	2021-02-10	-9	0	-9	146711	2021-02-05
A15-A34	1	0	0	2021-02-12	M	1	2021-02-10	-9	0	-9	146712	2021-02-06
A15-A34	1	0	0	2021-02-12	M	1	2021-02-10	-9	0	-9	146713	2021-02-07
A15-A34	1	0	0	2021-02-12	M	1	2021-02-10	-9	0	-9	146714	2021-02-09
A15-A34	1	0	0	2021-02-12	M	0	2021-02-10	-9	0	-9	146715	2021-02-10
A35-A59	1	1	0	2021-02-12	W	1	2021-02-10	0	0	-9	147420	2021-01-27
A35-A59	2	0	0	2021-02-12	W	1	2021-02-10	-9	0	-9	147421	2021-02-06
A35-A59	1	0	0	2021-02-12	W	1	2021-02-10	-9	0	-9	147422	2021-02-07
A35-A59	1	0	0	2021-02-12	W	1	2021-02-10	-9	0	-9	147424	2021-02-08
A35-A59	2	0	0	2021-02-12	W	0	2021-02-10	-9	0	-9	147425	2021-02-10
A60-A79	1	0	0	2021-02-12	W	1	2021-02-10	-9	0	-9	148163	2021-02-06
A80+	1	0	0	2021-02-12	M	0	2021-02-10	-9	0	-9	148381	2021-02-10
A60-A79	1	0	0	2021-02-12	M	1	2021-02-10	-9	0	-9	149293	2021-02-03
A60-A79	1	0	0	2021-02-12	M	1	2021-02-10	-9	0	-9	149295	2021-02-07
A60-A79	1	0	0	2021-02-12	M	0	2021-02-10	-9	0	-9	149297	2021-02-10
A60-A79	1	1	0	2021-02-12	M	1	2021-02-09	0	0	-9	149290	2021-01-14
A60-A79	1	0	0	2021-02-12	M	1	2021-02-09	-9	0	-9	149291	2021-02-06
A60-A79	3	0	0	2021-02-12	M	0	2021-02-09	-9	0	-9	149292	2021-02-09
A80+	1	0	0	2021-02-12	M	0	2021-02-09	-9	0	-9	148380	2021-02-09
A60-A79	1	0	0	2021-02-12	W	1	2021-02-09	-9	0	-9	148161	2021-01-31
A60-A79	1	0	0	2021-02-12	W	1	2021-02-09	-9	0	-9	148162	2021-02-04
A80+	1	0	0	2021-02-12	W	1	2021-02-09	-9	0	-9	147698	2021-02-09
A80+	3	0	0	2021-02-12	W	0	2021-02-09	-9	0	-9	147699	2021-02-09
A35-A59	1	0	0	2021-02-12	W	1	2021-02-09	-9	0	-9	147415	2021-02-02
A35-A59	3	0	0	2021-02-12	W	1	2021-02-09	-9	0	-9	147416	2021-02-05
A35-A59	3	0	0	2021-02-12	W	1	2021-02-09	-9	0	-9	147417	2021-02-06
A35-A59	2	0	0	2021-02-12	W	0	2021-02-09	-9	0	-9	147419	2021-02-09
A15-A34	4	0	0	2021-02-12	M	1	2021-02-09	-9	0	-9	146707	2021-02-05
A15-A34	2	0	0	2021-02-12	M	1	2021-02-09	-9	0	-9	146708	2021-02-07
A15-A34	1	0	0	2021-02-12	M	1	2021-02-09	-9	0	-9	146709	2021-02-08
A15-A34	2	0	0	2021-02-12	M	0	2021-02-09	-9	0	-9	146710	2021-02-09
A35-A59	3	0	0	2021-02-12	M	1	2021-02-09	-9	0	-9	145852	2021-02-05
A35-A59	1	0	0	2021-02-12	M	1	2021-02-09	-9	0	-9	145853	2021-02-06
A35-A59	1	0	0	2021-02-12	M	0	2021-02-09	-9	0	-9	145854	2021-02-09
A05-A14	1	0	0	2021-02-12	W	0	2021-02-09	-9	0	-9	146226	2021-02-09
