Altersgruppe	AnzahlFall	AnzahlGenesen	AnzahlTodesfall	Datenstand	Geschlecht	IstErkrankungsbeginn	Meldedatum	NeuGenesen	NeuerFall	NeuerTodesfall	ObjectId	Refdatum
A80+	1	0	0	2021-03-03	W	0	2021-03-02	-9	1	-9	164807	2021-03-02
A35-A59	1	0	0	2021-03-03	W	1	2021-03-02	-9	1	-9	164422	2021-03-02
A35-A59	6	0	0	2021-03-03	W	0	2021-03-02	-9	1	-9	164421	2021-03-02
A35-A59	1	0	0	2021-03-03	W	1	2021-03-02	-9	1	-9	164420	2021-03-01
A35-A59	1	0	0	2021-03-03	W	1	2021-03-02	-9	1	-9	164419	2021-02-28
A35-A59	1	0	0	2021-03-03	W	1	2021-03-02	-9	1	-9	164418	2021-02-27
A35-A59	2	0	0	2021-03-03	W	1	2021-03-02	-9	1	-9	164417	2021-02-26
A35-A59	1	0	0	2021-03-03	W	1	2021-03-02	-9	1	-9	164416	2021-02-25
A35-A59	1	0	0	2021-03-03	W	1	2021-03-02	-9	1	-9	164415	2021-02-22
A35-A59	2	0	0	2021-03-03	W	1	2021-03-02	-9	1	-9	164414	2021-02-20
A80+	1	0	0	2021-03-03	M	0	2021-03-02	-9	1	-9	163980	2021-03-02
A60-A79	3	0	0	2021-03-03	W	0	2021-03-02	-9	1	-9	163737	2021-03-02
A60-A79	1	0	0	2021-03-03	W	1	2021-03-02	-9	1	-9	163736	2021-03-01
A60-A79	1	0	0	2021-03-03	W	1	2021-03-02	-9	1	-9	163735	2021-02-28
A60-A79	2	0	0	2021-03-03	W	1	2021-03-02	-9	1	-9	163734	2021-02-27
A60-A79	1	0	0	2021-03-03	W	1	2021-03-02	-9	1	-9	163733	2021-02-24
A35-A59	5	0	0	2021-03-03	M	0	2021-03-02	-9	1	-9	163285	2021-03-02
A35-A59	1	0	0	2021-03-03	M	1	2021-03-02	-9	1	-9	163284	2021-03-01
A35-A59	2	0	0	2021-03-03	M	1	2021-03-02	-9	1	-9	163283	2021-02-28
A35-A59	2	0	0	2021-03-03	M	1	2021-03-02	-9	1	-9	163282	2021-02-27
A35-A59	2	0	0	2021-03-03	M	1	2021-03-02	-9	1	-9	163281	2021-02-26
A35-A59	3	0	0	2021-03-03	M	1	2021-03-02	-9	1	-9	163280	2021-02-25
A60-A79	2	0	0	2021-03-03	M	0	2021-03-02	-9	1	-9	162848	2021-03-02
A60-A79	1	0	0	2021-03-03	M	1	2021-03-02	-9	1	-9	162847	2021-02-27
A00-A04	1	0	0	2021-03-03	M	1	2021-03-02	-9	1	-9	162418	2021-03-01
A15-A34	6	0	0	2021-03-03	M	0	2021-03-02	-9	1	-9	161499	2021-03-02
A15-A34	2	0	0	2021-03-03	M	1	2021-03-02	-9	1	-9	161498	2021-02-28
A15-A34	5	0	0	2021-03-03	W	0	2021-03-02	-9	1	-9	160616	2021-03-02
A15-A34	1	0	0	2021-03-03	W	1	2021-03-02	-9	1	-9	160615	2021-02-26
A15-A34	1	0	0	2021-03-03	W	1	2021-03-02	-9	1	-9	160614	2021-02-22
A05-A14	2	0	0	2021-03-03	W	1	2021-03-02	-9	1	-9	160430	2021-03-01
A05-A14	2	0	0	2021-03-03	M	0	2021-03-02	-9	1	-9	160239	2021-03-02
A05-A14	1	0	0	2021-03-03	M	1	2021-03-02	-9	1	-9	160238	2021-03-01
A00-A04	1	0	0	2021-03-03	W	1	2021-03-02	-9	1	-9	160040	2021-03-01
A80+	1	0	0	2021-03-03	W	0	2021-03-01	-9	0	-9	164806	2021-03-01
A35-A59	2	0	0	2021-03-03	W	0	2021-03-01	-9	1	-9	164413	2021-03-01
A35-A59	1	0	0	2021-03-03	W	1	2021-03-01	-9	1	-9	164412	2021-02-28
A35-A59	1	0	0	2021-03-03	W	1	2021-03-01	-9	1	-9	164411	2021-02-27
A35-A59	1	0	0	2021-03-03	W	1	2021-03-01	-9	1	-9	164410	2021-02-25
A35-A59	1	0	0	2021-03-03	W	1	2021-03-01	-9	0	-9	164409	2021-02-23
A80+	1	0	0	2021-03-03	M	1	2021-03-01	-9	0	-9	163979	2021-02-22
A60-A79	1	0	0	2021-03-03	W	0	2021-03-01	-9	1	-9	163732	2021-03-01
A35-A59	1	0	0	2021-03-03	M	1	2021-03-01	-9	0	-9	163279	2021-02-26
A35-A59	1	0	0	2021-03-03	M	1	2021-03-01	-9	1	-9	163278	2021-02-24
A60-A79	1	0	0	2021-03-03	M	0	2021-03-01	-9	1	-9	162846	2021-03-01
A60-A79	1	0	0	2021-03-03	M	0	2021-03-01	-9	0	-9	162845	2021-03-01
A60-A79	1	0	0	2021-03-03	M	1	2021-03-01	-9	0	-9	162844	2021-02-24
A60-A79	1	0	0	2021-03-03	M	1	2021-03-01	-9	0	-9	162843	2021-02-22
A15-A34	1	0	0	2021-03-03	M	1	2021-03-01	-9	1	-9	161497	2021-02-23
A35-A59	1	0	0	2021-03-03	W	1	2021-02-28	-9	0	-9	164408	2021-02-26
A35-A59	4	0	0	2021-03-03	W	1	2021-02-28	-9	0	-9	164407	2021-02-25
A35-A59	3	0	0	2021-03-03	W	1	2021-02-28	-9	0	-9	164406	2021-02-24
A35-A59	1	0	0	2021-03-03	W	1	2021-02-28	-9	0	-9	164405	2021-02-22
