Altersgruppe	AnzahlFall	AnzahlGenesen	AnzahlTodesfall	Datenstand	Geschlecht	IstErkrankungsbeginn	Meldedatum	NeuGenesen	NeuerFall	NeuerTodesfall	ObjectId	Refdatum
A00-A04	1	0	0	2021-02-21	M	1	2021-02-19	-9	0	-9	150454	2021-02-16
A00-A04	1	0	0	2021-02-21	M	0	2021-02-19	-9	0	-9	150455	2021-02-19
A15-A34	1	0	0	2021-02-21	W	1	2021-02-19	-9	0	-9	153034	2021-02-13
A15-A34	1	0	0	2021-02-21	W	1	2021-02-19	-9	0	-9	153035	2021-02-14
A15-A34	2	0	0	2021-02-21	W	1	2021-02-19	-9	0	-9	153036	2021-02-15
A15-A34	2	0	0	2021-02-21	W	1	2021-02-19	-9	0	-9	153037	2021-02-16
A15-A34	2	0	0	2021-02-21	W	1	2021-02-19	-9	0	-9	153038	2021-02-18
A15-A34	2	0	0	2021-02-21	W	0	2021-02-19	-9	0	-9	153039	2021-02-19
A00-A04	2	0	0	2021-02-21	W	0	2021-02-19	-9	0	-9	153570	2021-02-19
A05-A14	1	0	0	2021-02-21	M	1	2021-02-19	-9	0	-9	153754	2021-02-13
A05-A14	2	0	0	2021-02-21	M	0	2021-02-19	-9	0	-9	153755	2021-02-19
A05-A14	2	0	0	2021-02-21	unbekannt	0	2021-02-19	-9	0	-9	153759	2021-02-19
A05-A14	1	0	0	2021-02-21	W	1	2021-02-19	-9	0	-9	153940	2021-02-17
A15-A34	1	0	0	2021-02-21	M	1	2021-02-19	-9	0	-9	154459	2021-02-17
A15-A34	4	0	0	2021-02-21	M	1	2021-02-19	-9	0	-9	154460	2021-02-18
A15-A34	2	0	0	2021-02-21	M	0	2021-02-19	-9	0	-9	154461	2021-02-19
A15-A34	1	0	0	2021-02-21	unbekannt	0	2021-02-19	-9	0	-9	154473	2021-02-19
A35-A59	1	0	0	2021-02-21	M	1	2021-02-19	-9	0	-9	154641	2021-02-13
A35-A59	3	0	0	2021-02-21	M	1	2021-02-19	-9	0	-9	154642	2021-02-15
A35-A59	2	0	0	2021-02-21	M	1	2021-02-19	-9	0	-9	154643	2021-02-16
A35-A59	2	0	0	2021-02-21	M	1	2021-02-19	-9	0	-9	154644	2021-02-17
A35-A59	1	0	0	2021-02-21	M	1	2021-02-19	-9	0	-9	154645	2021-02-18
A35-A59	7	0	0	2021-02-21	M	0	2021-02-19	-9	0	-9	154646	2021-02-19
A80+	1	0	0	2021-02-21	W	1	2021-02-19	-9	0	-9	155036	2021-02-15
A80+	1	0	0	2021-02-21	W	1	2021-02-19	-9	0	-9	155037	2021-02-16
A80+	1	0	0	2021-02-21	W	0	2021-02-19	-9	0	-9	155038	2021-02-19
A60-A79	2	0	0	2021-02-21	M	1	2021-02-19	-9	0	-9	156123	2021-02-14
A60-A79	2	0	0	2021-02-21	M	1	2021-02-19	-9	0	-9	156124	2021-02-16
A60-A79	1	0	0	2021-02-21	M	1	2021-02-19	-9	0	-9	156125	2021-02-17
A60-A79	6	0	0	2021-02-21	M	0	2021-02-19	-9	0	-9	156126	2021-02-19
A60-A79	1	0	0	2021-02-21	W	1	2021-02-19	-9	0	-9	156489	2021-02-11
A60-A79	2	0	0	2021-02-21	W	1	2021-02-19	-9	0	-9	156490	2021-02-17
A60-A79	1	0	0	2021-02-21	W	0	2021-02-19	-9	0	-9	156491	2021-02-19
A80+	1	0	0	2021-02-21	M	0	2021-02-19	-9	0	-9	156718	2021-02-19
A35-A59	1	0	0	2021-02-21	W	1	2021-02-19	-9	0	-9	157230	2021-02-14
A35-A59	2	0	0	2021-02-21	W	1	2021-02-19	-9	0	-9	157231	2021-02-15
A35-A59	3	0	0	2021-02-21	W	1	2021-02-19	-9	0	-9	157232	2021-02-18
A35-A59	6	0	0	2021-02-21	W	0	2021-02-19	-9	0	-9	157233	2021-02-19
A35-A59	1	0	0	2021-02-21	W	1	2021-02-18	-9	0	-9	157224	2021-02-13
A35-A59	1	0	0	2021-02-21	W	1	2021-02-18	-9	0	-9	157225	2021-02-14
A35-A59	1	0	0	2021-02-21	W	1	2021-02-18	-9	0	-9	157226	2021-02-15
A35-A59	4	0	0	2021-02-21	W	1	2021-02-18	-9	0	-9	157227	2021-02-16
A35-A59	2	0	0	2021-02-21	W	1	2021-02-18	-9	0	-9	157228	2021-02-17
A35-A59	1	0	0	2021-02-21	W	0	2021-02-18	-9	0	-9	157229	2021-02-18
A60-A79	2	0	0	2021-02-21	W	1	2021-02-18	-9	0	-9	156487	2021-02-14
A60-A79	2	0	0	2021-02-21	W	0	2021-02-18	-9	0	-9	156488	2021-02-18
A60-A79	1	0	0	2021-02-21	M	1	2021-02-18	-9	0	-9	156121	2021-02-13
A60-A79	1	0	0	2021-02-21	M	0	2021-02-18	-9	0	-9	156122	2021-02-18
