Altersgruppe	AnzahlFall	AnzahlGenesen	AnzahlTodesfall	Datenstand	Geschlecht	IstErkrankungsbeginn	Meldedatum	NeuGenesen	NeuerFall	NeuerTodesfall	ObjectId	Refdatum
A80+	1	0	0	2021-02-24	M	1	2021-02-23	-9	1	-9	159922	2021-02-22
A60-A79	1	0	0	2021-02-24	W	0	2021-02-23	-9	1	-9	159685	2021-02-23
A60-A79	2	0	0	2021-02-24	W	1	2021-02-23	-9	1	-9	159684	2021-02-22
A60-A79	1	0	0	2021-02-24	W	1	2021-02-23	-9	1	-9	159683	2021-02-20
A60-A79	1	0	0	2021-02-24	W	1	2021-02-23	-9	1	-9	159682	2021-02-18
A60-A79	3	0	0	2021-02-24	M	0	2021-02-23	-9	1	-9	159313	2021-02-23
A60-A79	1	0	0	2021-02-24	M	1	2021-02-23	-9	1	-9	159312	2021-02-19
A60-A79	1	0	0	2021-02-24	M	1	2021-02-23	-9	1	-9	159311	2021-02-16
A80+	1	0	0	2021-02-24	W	0	2021-02-23	-9	1	-9	158747	2021-02-23
A15-A34	3	0	0	2021-02-24	W	0	2021-02-23	-9	1	-9	157171	2021-02-23
A15-A34	2	0	0	2021-02-24	W	1	2021-02-23	-9	1	-9	157170	2021-02-21
A15-A34	3	0	0	2021-02-24	W	1	2021-02-23	-9	1	-9	157169	2021-02-20
A15-A34	2	0	0	2021-02-24	W	1	2021-02-23	-9	1	-9	157168	2021-02-18
A15-A34	1	0	0	2021-02-24	W	1	2021-02-23	-9	1	-9	157167	2021-02-15
A05-A14	1	0	0	2021-02-24	W	1	2021-02-23	-9	1	-9	156544	2021-02-21
A05-A14	1	0	0	2021-02-24	W	1	2021-02-23	-9	1	-9	156543	2021-02-20
A05-A14	1	0	0	2021-02-24	W	1	2021-02-23	-9	1	-9	156542	2021-02-17
A35-A59	1	0	0	2021-02-24	W	1	2021-02-23	-9	1	-9	156411	2021-02-23
A35-A59	3	0	0	2021-02-24	W	1	2021-02-23	-9	1	-9	156410	2021-02-21
A35-A59	1	0	0	2021-02-24	W	1	2021-02-23	-9	1	-9	156409	2021-02-20
A35-A59	1	0	0	2021-02-24	W	1	2021-02-23	-9	1	-9	156408	2021-02-19
A35-A59	2	0	0	2021-02-24	W	1	2021-02-23	-9	1	-9	156407	2021-02-18
A35-A59	4	0	0	2021-02-24	M	0	2021-02-23	-9	1	-9	155808	2021-02-23
A35-A59	2	0	0	2021-02-24	M	1	2021-02-23	-9	1	-9	155807	2021-02-21
A35-A59	1	0	0	2021-02-24	M	1	2021-02-23	-9	1	-9	155806	2021-02-20
A35-A59	2	0	0	2021-02-24	M	1	2021-02-23	-9	1	-9	155805	2021-02-19
