Altersgruppe	AnzahlFall	AnzahlGenesen	AnzahlTodesfall	Datenstand	Geschlecht	IstErkrankungsbeginn	Meldedatum	NeuGenesen	NeuerFall	NeuerTodesfall	ObjectId	Refdatum
A00-A04	1	0	0	2021-02-17	W	1	2021-02-16	-9	1	-9	148224	2021-02-14
A05-A14	1	0	0	2021-02-17	M	1	2021-02-16	-9	1	-9	148402	2021-02-11
A05-A14	1	0	0	2021-02-17	M	1	2021-02-16	-9	1	-9	148403	2021-02-12
A05-A14	1	0	0	2021-02-17	M	1	2021-02-16	-9	1	-9	148404	2021-02-13
A05-A14	1	0	0	2021-02-17	M	1	2021-02-16	-9	1	-9	148405	2021-02-15
A05-A14	1	0	0	2021-02-17	M	0	2021-02-16	-9	1	-9	148406	2021-02-16
A05-A14	1	0	0	2021-02-17	W	1	2021-02-16	-9	1	-9	148583	2021-02-12
A05-A14	1	0	0	2021-02-17	W	1	2021-02-16	-9	1	-9	148584	2021-02-13
A05-A14	1	0	0	2021-02-17	W	0	2021-02-16	-9	1	-9	148585	2021-02-16
A15-A34	1	0	0	2021-02-17	M	1	2021-02-16	-9	1	-9	149088	2021-02-11
A15-A34	1	0	0	2021-02-17	M	1	2021-02-16	-9	1	-9	149089	2021-02-12
A15-A34	1	0	0	2021-02-17	M	1	2021-02-16	-9	1	-9	149090	2021-02-13
A15-A34	2	0	0	2021-02-17	M	1	2021-02-16	-9	1	-9	149091	2021-02-14
A15-A34	4	0	0	2021-02-17	M	0	2021-02-16	-9	1	-9	149092	2021-02-16
A60-A79	1	0	0	2021-02-17	M	1	2021-02-16	-9	1	-9	150192	2021-02-13
A60-A79	5	0	0	2021-02-17	M	0	2021-02-16	-9	1	-9	150193	2021-02-16
A35-A59	2	0	0	2021-02-17	W	1	2021-02-16	-9	1	-9	150814	2021-02-12
A35-A59	2	0	0	2021-02-17	W	1	2021-02-16	-9	1	-9	150815	2021-02-14
A35-A59	1	0	0	2021-02-17	W	1	2021-02-16	-9	1	-9	150816	2021-02-15
A35-A59	5	0	0	2021-02-17	W	0	2021-02-16	-9	1	-9	150817	2021-02-16
A35-A59	1	0	0	2021-02-17	W	1	2021-02-16	-9	1	-9	150818	2021-02-16
A35-A59	1	0	0	2021-02-17	M	1	2021-02-16	-9	1	-9	151241	2021-02-10
A35-A59	4	0	0	2021-02-17	M	1	2021-02-16	-9	1	-9	151242	2021-02-12
A35-A59	5	0	0	2021-02-17	M	1	2021-02-16	-9	1	-9	151243	2021-02-13
A35-A59	3	0	0	2021-02-17	M	1	2021-02-16	-9	1	-9	151244	2021-02-14
A35-A59	13	0	0	2021-02-17	M	0	2021-02-16	-9	1	-9	151245	2021-02-16
A15-A34	1	0	0	2021-02-17	W	1	2021-02-16	-9	1	-9	151641	2021-02-11
