Altersgruppe	AnzahlFall	AnzahlGenesen	AnzahlTodesfall	Datenstand	Geschlecht	IstErkrankungsbeginn	Meldedatum	NeuGenesen	NeuerFall	NeuerTodesfall	ObjectId	Refdatum
A05-A14	1	0	0	2021-03-07	W	0	2021-03-06	-9	1	-9	162548	2021-03-06
A05-A14	2	0	0	2021-03-07	M	0	2021-03-06	-9	1	-9	163855	2021-03-06
A15-A34	9	0	0	2021-03-07	M	0	2021-03-06	-9	1	-9	165131	2021-03-06
A15-A34	2	0	0	2021-03-07	unbekannt	0	2021-03-06	-9	1	-9	165134	2021-03-06
A35-A59	6	0	0	2021-03-07	M	0	2021-03-06	-9	1	-9	166458	2021-03-06
A35-A59	4	0	0	2021-03-07	W	0	2021-03-06	-9	1	-9	166615	2021-03-06
A15-A34	9	0	0	2021-03-07	W	0	2021-03-06	-9	1	-9	167270	2021-03-06
A80+	1	0	0	2021-03-07	W	0	2021-03-06	-9	1	-9	168554	2021-03-06
A80+	1	0	0	2021-03-07	M	0	2021-03-06	-9	1	-9	169201	2021-03-06
A60-A79	2	0	0	2021-03-07	M	0	2021-03-06	-9	1	-9	169551	2021-03-06
A60-A79	2	0	0	2021-03-07	W	0	2021-03-06	-9	1	-9	169954	2021-03-06
A05-A14	1	0	0	2021-03-07	W	0	2021-03-05	-9	0	-9	162547	2021-03-05
A35-A59	1	0	0	2021-03-07	M	0	2021-03-05	-9	1	-9	166457	2021-03-05
A00-A04	1	0	0	2021-03-07	M	0	2021-03-05	-9	0	-9	163523	2021-03-05
A15-A34	1	0	0	2021-03-07	M	0	2021-03-05	-9	1	-9	165129	2021-03-05
A00-A04	1	0	0	2021-03-07	W	1	2021-03-05	-9	0	-9	163647	2021-03-02
A00-A04	1	0	0	2021-03-07	W	1	2021-03-05	-9	0	-9	163648	2021-03-03
A05-A14	1	0	0	2021-03-07	M	1	2021-03-05	-9	0	-9	163853	2021-03-02
