Altersgruppe	AnzahlFall	AnzahlGenesen	AnzahlTodesfall	Datenstand	Geschlecht	IstErkrankungsbeginn	Meldedatum	NeuGenesen	NeuerFall	NeuerTodesfall	ObjectId	Refdatum
A15-A34	1	0	0	2021-03-16	W	0	2021-03-15	-9	1	-9	174918	2021-03-15
A35-A59	1	0	0	2021-03-16	M	1	2021-03-15	-9	1	-9	173674	2021-03-14
A15-A34	1	0	0	2021-03-16	M	1	2021-03-15	-9	1	-9	170243	2021-03-08
A60-A79	1	1	0	2021-03-16	W	1	2021-03-14	0	0	-9	177237	2021-02-28
A15-A34	2	0	0	2021-03-16	W	0	2021-03-14	-9	0	-9	174917	2021-03-14
A15-A34	1	0	0	2021-03-16	W	1	2021-03-14	-9	1	-9	174916	2021-03-13
A15-A34	2	0	0	2021-03-16	W	1	2021-03-14	-9	0	-9	174915	2021-03-13
A15-A34	3	0	0	2021-03-16	W	1	2021-03-14	-9	0	-9	174914	2021-03-10
A60-A79	1	0	0	2021-03-16	M	1	2021-03-14	-9	0	-9	174329	2021-03-12
A35-A59	2	0	0	2021-03-16	M	1	2021-03-14	-9	0	-9	173673	2021-03-12
A35-A59	2	0	0	2021-03-16	W	0	2021-03-14	-9	0	-9	172847	2021-03-14
A35-A59	1	0	0	2021-03-16	W	1	2021-03-14	-9	0	-9	172846	2021-03-13
A35-A59	2	0	0	2021-03-16	W	1	2021-03-14	-9	0	-9	172845	2021-03-12
A35-A59	2	0	0	2021-03-16	W	1	2021-03-14	-9	0	-9	172844	2021-03-10
A35-A59	1	0	0	2021-03-16	W	1	2021-03-14	-9	0	-9	172843	2021-03-09
A05-A14	2	0	0	2021-03-16	M	0	2021-03-14	-9	0	-9	172428	2021-03-14
A05-A14	1	0	0	2021-03-16	M	1	2021-03-14	-9	0	-9	172427	2021-03-07
A00-A04	1	0	0	2021-03-16	W	1	2021-03-14	-9	0	-9	172200	2021-03-12
A05-A14	1	0	0	2021-03-16	W	0	2021-03-14	-9	0	-9	170642	2021-03-14
A05-A14	1	0	0	2021-03-16	W	1	2021-03-14	-9	0	-9	170641	2021-03-11
A05-A14	1	0	0	2021-03-16	W	1	2021-03-14	-9	0	-9	170640	2021-03-10
A15-A34	2	0	0	2021-03-16	M	0	2021-03-14	-9	0	-9	170242	2021-03-14
A15-A34	1	0	0	2021-03-16	M	1	2021-03-14	-9	0	-9	170241	2021-03-12
A15-A34	2	0	0	2021-03-16	M	1	2021-03-14	-9	0	-9	170240	2021-03-11
A80+	1	0	0	2021-03-16	M	0	2021-03-13	-9	0	-9	177487	2021-03-13
