Altersgruppe	AnzahlFall	AnzahlGenesen	AnzahlTodesfall	Datenstand	Geschlecht	IstErkrankungsbeginn	Meldedatum	NeuGenesen	NeuerFall	NeuerTodesfall	ObjectId	Refdatum
A80+	5	0	0	2021-02-26	W	0	2021-02-25	-9	1	-9	161656	2021-02-25
A80+	2	0	0	2021-02-26	M	0	2021-02-25	-9	1	-9	161332	2021-02-25
A80+	1	0	0	2021-02-26	M	1	2021-02-25	-9	1	-9	161331	2021-02-22
A60-A79	1	0	0	2021-02-26	W	0	2021-02-25	-9	1	-9	161093	2021-02-25
A60-A79	1	0	0	2021-02-26	W	1	2021-02-25	-9	1	-9	161092	2021-02-25
A60-A79	1	0	0	2021-02-26	W	1	2021-02-25	-9	1	-9	161091	2021-02-17
A60-A79	5	0	0	2021-02-26	M	0	2021-02-25	-9	1	-9	160713	2021-02-25
A60-A79	1	0	0	2021-02-26	M	1	2021-02-25	-9	1	-9	160712	2021-02-24
A60-A79	1	0	0	2021-02-26	M	1	2021-02-25	-9	1	-9	160711	2021-02-23
A60-A79	1	0	0	2021-02-26	M	1	2021-02-25	-9	1	-9	160710	2021-02-18
A35-A59	7	0	0	2021-02-26	M	0	2021-02-25	-9	1	-9	159690	2021-02-25
A35-A59	2	0	0	2021-02-26	M	1	2021-02-25	-9	1	-9	159689	2021-02-24
A35-A59	3	0	0	2021-02-26	M	1	2021-02-25	-9	1	-9	159688	2021-02-23
A35-A59	3	0	0	2021-02-26	M	1	2021-02-25	-9	1	-9	159687	2021-02-22
A35-A59	3	0	0	2021-02-26	W	0	2021-02-25	-9	1	-9	159303	2021-02-25
A35-A59	1	0	0	2021-02-26	W	1	2021-02-25	-9	1	-9	159302	2021-02-24
A35-A59	2	0	0	2021-02-26	W	1	2021-02-25	-9	1	-9	159301	2021-02-23
A35-A59	1	0	0	2021-02-26	W	1	2021-02-25	-9	1	-9	159300	2021-02-21
A35-A59	1	0	0	2021-02-26	W	1	2021-02-25	-9	1	-9	159299	2021-02-20
A35-A59	1	0	0	2021-02-26	W	1	2021-02-25	-9	1	-9	159298	2021-02-19
A15-A34	4	0	0	2021-02-26	W	0	2021-02-25	-9	1	-9	158550	2021-02-25
A15-A34	2	0	0	2021-02-26	W	1	2021-02-25	-9	1	-9	158549	2021-02-24
A15-A34	2	0	0	2021-02-26	W	1	2021-02-25	-9	1	-9	158548	2021-02-23
A15-A34	1	0	0	2021-02-26	W	1	2021-02-25	-9	1	-9	158547	2021-02-22
A15-A34	2	0	0	2021-02-26	W	1	2021-02-25	-9	1	-9	158546	2021-02-21
A15-A34	1	0	0	2021-02-26	W	1	2021-02-25	-9	1	-9	158545	2021-02-20
A15-A34	3	0	0	2021-02-26	M	0	2021-02-25	-9	1	-9	158455	2021-02-25
A15-A34	1	0	0	2021-02-26	M	1	2021-02-25	-9	1	-9	158454	2021-02-24
A15-A34	1	0	0	2021-02-26	M	1	2021-02-25	-9	1	-9	158453	2021-02-23
A15-A34	3	0	0	2021-02-26	M	1	2021-02-25	-9	1	-9	158452	2021-02-22
A15-A34	1	0	0	2021-02-26	M	1	2021-02-25	-9	1	-9	158451	2021-02-19
