Altersgruppe	AnzahlFall	AnzahlGenesen	AnzahlTodesfall	Datenstand	Geschlecht	IstErkrankungsbeginn	Meldedatum	NeuGenesen	NeuerFall	NeuerTodesfall	ObjectId	Refdatum
A15-A34	1	0	0	2021-03-06	W	0	2021-03-05	-9	1	-9	167067	2021-03-05
A15-A34	1	0	0	2021-03-06	W	1	2021-03-05	-9	1	-9	167066	2021-03-04
A15-A34	1	0	0	2021-03-06	W	1	2021-03-05	-9	1	-9	167065	2021-03-01
A35-A59	4	0	0	2021-03-06	W	0	2021-03-05	-9	1	-9	166905	2021-03-05
A35-A59	2	0	0	2021-03-06	W	1	2021-03-05	-9	1	-9	166904	2021-03-03
A35-A59	1	0	0	2021-03-06	W	1	2021-03-05	-9	1	-9	166903	2021-02-26
A60-A79	1	0	0	2021-03-06	M	0	2021-03-05	-9	1	-9	166342	2021-03-05
A35-A59	5	0	0	2021-03-06	M	0	2021-03-05	-9	1	-9	165751	2021-03-05
A35-A59	1	0	0	2021-03-06	M	1	2021-03-05	-9	1	-9	165750	2021-03-04
A35-A59	1	0	0	2021-03-06	M	1	2021-03-05	-9	1	-9	165749	2021-03-03
A35-A59	2	0	0	2021-03-06	M	1	2021-03-05	-9	1	-9	165748	2021-03-02
A80+	1	0	0	2021-03-06	M	1	2021-03-05	-9	1	-9	165485	2021-03-03
A60-A79	1	0	0	2021-03-06	W	0	2021-03-05	-9	1	-9	165241	2021-03-05
A60-A79	1	0	0	2021-03-06	W	1	2021-03-05	-9	1	-9	165240	2021-03-04
A60-A79	1	0	0	2021-03-06	W	1	2021-03-05	-9	1	-9	165239	2021-03-02
A15-A34	2	0	0	2021-03-06	M	0	2021-03-05	-9	1	-9	164935	2021-03-05
A15-A34	2	0	0	2021-03-06	M	1	2021-03-05	-9	1	-9	164934	2021-03-04
A15-A34	1	0	0	2021-03-06	M	1	2021-03-05	-9	1	-9	164933	2021-03-03
A15-A34	1	0	0	2021-03-06	M	1	2021-03-05	-9	1	-9	164932	2021-03-02
A15-A34	1	0	0	2021-03-06	M	1	2021-03-05	-9	1	-9	164931	2021-03-01
A00-A04	1	0	0	2021-03-06	W	1	2021-03-05	-9	1	-9	164455	2021-03-03
A00-A04	1	0	0	2021-03-06	W	1	2021-03-05	-9	1	-9	164454	2021-03-02
A00-A04	1	0	0	2021-03-06	M	0	2021-03-05	-9	1	-9	164329	2021-03-05
A05-A14	1	0	0	2021-03-06	W	0	2021-03-05	-9	1	-9	163357	2021-03-05
A05-A14	1	0	0	2021-03-06	M	1	2021-03-05	-9	1	-9	163163	2021-03-03
A05-A14	1	0	0	2021-03-06	M	1	2021-03-05	-9	1	-9	163162	2021-03-02
A15-A34	1	0	0	2021-03-06	W	1	2021-03-04	-9	0	-9	167064	2021-03-03
A15-A34	3	0	0	2021-03-06	W	1	2021-03-04	-9	0	-9	167063	2021-03-02
A15-A34	5	0	0	2021-03-06	W	1	2021-03-04	-9	0	-9	167062	2021-03-01
A15-A34	1	0	0	2021-03-06	W	1	2021-03-04	-9	0	-9	167061	2021-02-26
A35-A59	1	0	0	2021-03-06	W	0	2021-03-04	-9	0	-9	166902	2021-03-04
A35-A59	2	0	0	2021-03-06	W	1	2021-03-04	-9	0	-9	166901	2021-03-03
A35-A59	3	0	0	2021-03-06	W	1	2021-03-04	-9	0	-9	166900	2021-03-02
A35-A59	2	0	0	2021-03-06	W	1	2021-03-04	-9	0	-9	166899	2021-03-01
