Altersgruppe	AnzahlFall	AnzahlGenesen	AnzahlTodesfall	Datenstand	Geschlecht	IstErkrankungsbeginn	Meldedatum	NeuGenesen	NeuerFall	NeuerTodesfall	ObjectId	Refdatum
A00-A04	1	0	0	2021-02-19	M	1	2021-02-18	-9	1	-9	150380	2021-02-14
A00-A04	1	0	0	2021-02-19	W	1	2021-02-18	-9	1	-9	150491	2021-02-16
A00-A04	1	0	0	2021-02-19	W	0	2021-02-18	-9	1	-9	150492	2021-02-18
A05-A14	1	0	0	2021-02-19	M	0	2021-02-18	-9	1	-9	150678	2021-02-18
A05-A14	1	0	0	2021-02-19	M	1	2021-02-18	-9	1	-9	150679	2021-02-18
A05-A14	1	0	0	2021-02-19	W	1	2021-02-18	-9	1	-9	150862	2021-02-18
A15-A34	1	0	0	2021-02-19	M	1	2021-02-18	-9	1	-9	151376	2021-02-13
A15-A34	1	0	0	2021-02-19	M	1	2021-02-18	-9	1	-9	151377	2021-02-14
A15-A34	1	0	0	2021-02-19	M	1	2021-02-18	-9	1	-9	151378	2021-02-15
A15-A34	1	0	0	2021-02-19	M	1	2021-02-18	-9	1	-9	151379	2021-02-16
A15-A34	3	0	0	2021-02-19	M	0	2021-02-18	-9	1	-9	151380	2021-02-18
A15-A34	1	0	0	2021-02-19	W	1	2021-02-18	-9	1	-9	151942	2021-02-12
A15-A34	1	0	0	2021-02-19	W	1	2021-02-18	-9	1	-9	151943	2021-02-13
A15-A34	2	0	0	2021-02-19	W	1	2021-02-18	-9	1	-9	151944	2021-02-14
A15-A34	2	0	0	2021-02-19	W	1	2021-02-18	-9	1	-9	151945	2021-02-16
A15-A34	1	0	0	2021-02-19	W	0	2021-02-18	-9	1	-9	151946	2021-02-18
A60-A79	1	0	0	2021-02-19	M	1	2021-02-18	-9	1	-9	153028	2021-02-13
A60-A79	1	0	0	2021-02-19	M	0	2021-02-18	-9	1	-9	153029	2021-02-18
A60-A79	2	0	0	2021-02-19	W	1	2021-02-18	-9	1	-9	153392	2021-02-14
A60-A79	2	0	0	2021-02-19	W	0	2021-02-18	-9	1	-9	153393	2021-02-18
A35-A59	1	0	0	2021-02-19	W	1	2021-02-18	-9	1	-9	153635	2021-02-13
A35-A59	1	0	0	2021-02-19	W	1	2021-02-18	-9	1	-9	153636	2021-02-14
A35-A59	1	0	0	2021-02-19	W	1	2021-02-18	-9	1	-9	153637	2021-02-15
A35-A59	4	0	0	2021-02-19	W	1	2021-02-18	-9	1	-9	153638	2021-02-16
A35-A59	2	0	0	2021-02-19	W	1	2021-02-18	-9	1	-9	153639	2021-02-17
A35-A59	1	0	0	2021-02-19	W	0	2021-02-18	-9	1	-9	153640	2021-02-18
A80+	1	0	0	2021-02-19	W	1	2021-02-18	-9	1	-9	154436	2021-02-13
A80+	2	0	0	2021-02-19	W	0	2021-02-18	-9	1	-9	154437	2021-02-18
A35-A59	1	0	0	2021-02-19	M	1	2021-02-18	-9	1	-9	154551	2021-02-12
A35-A59	1	0	0	2021-02-19	M	1	2021-02-18	-9	1	-9	154552	2021-02-15
A35-A59	2	0	0	2021-02-19	M	0	2021-02-18	-9	1	-9	154553	2021-02-18
A00-A04	1	0	0	2021-02-19	W	1	2021-02-17	-9	0	-9	150490	2021-02-13
A05-A14	1	0	0	2021-02-19	M	1	2021-02-17	-9	0	-9	150677	2021-02-14
A05-A14	1	1	0	2021-02-19	W	1	2021-02-17	1	0	-9	150861	2021-02-05
A35-A59	-2	0	0	2021-02-19	M	0	2021-02-17	-9	-1	-9	154550	2021-02-17
A15-A34	-1	0	0	2021-02-19	W	0	2021-02-17	-9	-1	-9	151941	2021-02-17
